"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","2"," "," "," "," ","2","2"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","5"," "," "," "
"Independent work"," "," ","2","2","2"," "," "
"Work at a fast pace"," "," ","1","1","4"," "," "
"Work under tight deadlines"," ","1","2","1","2"," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","5","1"
"Work with clients who have experienced psychological trauma","1"," "," "," "," ","1","4"
"Work with clients who may be aggressive","3"," "," "," "," "," ","3"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","5","1"
"Work with clients with cognitive deficits"," "," "," "," "," ","5","1"
"Work with clients with multiple diagnoses"," "," "," "," "," ","5","1"
"Work with interdisciplinary team members"," "," ","1","2","3"," "," "
"Work with medically fragile clients and/or those at risk of dying"," "," "," "," "," ","4","2"
"Work with more than one preceptor"," ","3","1"," ","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","1","1","4"," "," "," "
"Work with other students"," ","3","1","2"," "," "," "
"Total","6","8","10","17","13","27","15"
