"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","7"," "," "," "," "," "," "," "," "
"Bending"," "," "," "," ","2","5"," "," "," "
"By hand"," ","1"," "," ","2","4"," "," "," "
"Carrying less than 5 kg"," ","1","4","2"," "," "," "," "," "
"Carrying more than 5 kg"," ","1","5","1"," "," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","4"," "," "," "," "," "," "," ","3"
"Exposure to excessive dust","6"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," "," ","4"
"Exposure to extreme temperatures","6"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","5"
"Exposure to insects or animals (e.g. bed bugs, cats)","6"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","4"," "," "," "," "," "," "," ","3"
"Finger dexterity"," ","3","2"," "," "," ","2"," "," "
"Grasping"," ","2","4","1"," "," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","4","3"," "," "," "
"Keyboarding on phone"," ","6"," "," "," ","1"," "," "," "
"Kneeling/squatting"," ","1"," "," "," ","6"," "," "," "
"Lifting less than 5 kg"," ","1","5","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","2","5"," "," "," "," "," "," "
"Other climbing"," ","6"," "," "," ","1"," "," "," "
"Pinching"," ","3","4"," "," "," "," "," "," "
"Pulling less than 5 kg"," ","3","4"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","3","4"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","2","5"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","1","6"," "," "," "," "," "," "
"Reaching"," ","3","4"," "," "," "," "," "," "
"Sitting (Continuous)"," ","3"," "," ","3","1"," "," "," "
"Sitting (Intermittent)"," ","1"," "," ","4","2"," "," "," "
"Stair climbing"," ","3"," "," "," ","4"," "," "," "
"Standing (Continuous)"," ","2"," "," ","2","3"," "," "," "
"Standing (Intermittent)"," "," "," "," ","4","3"," "," "," "
"Travel via car required","7"," "," "," "," "," "," "," "," "
"Travel via public transportation required","7"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","2"," "," "," ","5"," "," "," "
"Use of sharp tools","7"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","1","3"," ","3"," "
"Work only indoors","1"," "," "," "," "," "," "," ","6"
"Work outdoors > 2 hour","7"," "," "," "," "," "," "," "," "
"Total","71","50","52","5","22","41","2","3","27"
