"Question","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently"
"Analytical or clinical/professional reasoning","1"," ","2"," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","3"," "
"Follow multiple step commands"," "," "," ","3"
"Integrating new learning into practice"," ","1","2"," "
"Memory aids can be used (e.g. information sheets)"," "," "," ","3"
"Practicing good judgement and decision-making","1"," ","2"," "
"Problem solving","1"," ","2"," "
"Reading electronic documents","2","1"," "," "
"Reading paper documents (handwritten or typed)","2","1"," "," "
"Require instant recall of facts/data"," "," "," ","3"
"Self-starting/initiating","1"," ","2"," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)","1"," ","2"," "
"Total","9","3","15","9"
