"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," "," ","1","5"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","2"," ","4"," "," "
"Follow multiple step commands"," "," "," "," "," ","5","1"
"Integrating new learning into practice"," "," "," ","1","5"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","4","2"
"Practicing good judgement and decision-making"," "," ","1"," ","5"," "," "
"Problem solving"," "," ","1"," ","5"," "," "
"Reading electronic documents"," ","1","2","1","2"," "," "
"Reading paper documents (handwritten or typed)"," "," ","2","4"," "," "," "
"Require instant recall of facts/data","1"," "," "," "," ","4","1"
"Self-starting/initiating"," "," ","2"," ","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2"," ","4"," "," "
"Total","1","1","12","7","34","13","4"
