"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","3","9"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","4","1","9"," "," "
"Follow multiple step commands"," "," "," "," "," ","11","3"
"Integrating new learning into practice"," "," ","1","3","10"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","11","3"
"Practicing good judgement and decision-making"," "," ","2","2","10"," "," "
"Problem solving"," "," ","3","2","9"," "," "
"Reading electronic documents"," ","1","6","5","2"," "," "
"Reading paper documents (handwritten or typed)"," ","1","4","8","1"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","11","2"
"Self-starting/initiating"," "," ","3","3","8"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","4","2","8"," "," "
"Total","1","2","29","29","66","33","8"
