"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","5"," "," "," "," ","3","6"
"Group work (e.g. Client and family meetings, team meetings)"," ","3"," ","11"," "," "," "
"Independent work"," "," ","3","8","3"," "," "
"Work at a fast pace"," "," ","2","6","6"," "," "
"Work under tight deadlines"," ","2","3","6","3"," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","8","6"
"Work with clients who have experienced psychological trauma","4"," "," "," "," ","4","6"
"Work with clients who may be aggressive","5"," "," "," "," ","1","8"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","9","5"
"Work with clients with cognitive deficits","1"," "," "," "," ","9","4"
"Work with clients with multiple diagnoses"," "," "," "," "," ","13","1"
"Work with interdisciplinary team members"," "," ","5","6","3"," "," "
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","7","6"
"Work with more than one preceptor"," ","9","1","3","1"," "," "
"Work with Occupational Therapy Assistant(s)"," ","5"," ","9"," "," "," "
"Work with other students"," ","8","2","4"," "," "," "
"Total","16","27","16","53","16","54","42"
