"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","2"," ","8"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","1","7"," "," "
"Follow multiple step commands"," "," "," "," ","9","1"
"Integrating new learning into practice"," ","2","1","7"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","8","2"
"Practicing good judgement and decision-making"," ","2","1","7"," "," "
"Problem solving"," ","3"," ","7"," "," "
"Reading electronic documents"," ","4","4","2"," "," "
"Reading paper documents (handwritten or typed)"," ","4","6"," "," "," "
"Require instant recall of facts/data","1"," "," "," ","8","1"
"Self-starting/initiating"," ","4","1","5"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","3","1","6"," "," "
"Total","1","26","15","49","25","4"
