"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","4"," "," "," "," ","3","6"
"Group work (e.g. Client and family meetings, team meetings)"," ","3"," ","10"," "," "," "
"Independent work"," "," ","2","8","3"," "," "
"Work at a fast pace"," "," ","2","5","6"," "," "
"Work under tight deadlines"," ","2","3","5","3"," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","7","6"
"Work with clients who have experienced psychological trauma","4"," "," "," "," ","3","6"
"Work with clients who may be aggressive","5"," "," "," "," ","1","7"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","8","5"
"Work with clients with cognitive deficits"," "," "," "," "," ","9","4"
"Work with clients with multiple diagnoses"," "," "," "," "," ","12","1"
"Work with interdisciplinary team members"," "," ","5","5","3"," "," "
"Work with medically fragile clients and/or those at risk of dying"," "," "," "," "," ","7","6"
"Work with more than one preceptor"," ","9","1","2","1"," "," "
"Work with Occupational Therapy Assistant(s)"," ","4"," ","9"," "," "," "
"Work with other students"," ","8","1","4"," "," "," "
"Total","13","26","14","48","16","50","41"
