"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","5"," "," "," "," "," "," "," "
"Bending"," "," "," "," ","2","3"," "," "
"By hand"," "," "," "," ","1","4"," "," "
"Carrying less than 5 kg"," ","1","2","2"," "," "," "," "
"Carrying more than 5 kg"," ","3","2"," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," ","2"
"Exposure to chemicals","5"," "," "," "," "," "," "," "
"Exposure to excessive dust","4"," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","4"," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","2"," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," "," ","1"
"Exposure to strong odors","3"," "," "," "," "," "," ","2"
"Finger dexterity"," "," ","2","3"," "," "," "," "
"Grasping"," "," ","2","3"," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","1","3"," "," "
"Keyboarding on phone"," ","2"," "," "," ","3"," "," "
"Kneeling/squatting"," "," "," "," ","2","3"," "," "
"Lifting less than 5 kg"," "," ","3","2"," "," "," "," "
"Lifting more than 5 kg"," ","3","2"," "," "," "," "," "
"Other climbing"," ","4"," "," "," ","1"," "," "
"Pinching"," "," ","3","2"," "," "," "," "
"Pulling less than 5 kg"," ","4","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","3","2"," "," "," "," "," "
"Pushing less than 5 kg"," ","4","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","2","3"," "," "," "," "," "
"Reaching"," "," ","2","3"," "," "," "," "
"Sitting (Continuous)"," ","2"," "," ","2","1"," "," "
"Sitting (Intermittent)"," "," "," "," ","1","3","1"," "
"Stair climbing"," "," "," "," "," ","5"," "," "
"Standing (Continuous)"," ","1"," "," ","2","2"," "," "
"Standing (Intermittent)"," "," "," "," ","2","2","1"," "
"Travel via car required","5"," "," "," "," "," "," "," "
"Travel via public transportation required","5"," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","1"," "," "," ","4"," "," "
"Use of sharp tools","5"," "," "," "," "," "," "," "
"Walking"," "," "," "," ","3","2"," "," "
"Work only indoors","2"," "," "," "," "," "," ","3"
"Work outdoors > 2 hour","4"," "," "," "," "," "," ","1"
"Total","55","31","25","15","16","36","2","15"
