"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Yes"
"Adverse lighting conditions","2"," "," "," "," "," "
"Bending"," "," "," ","1","1"," "
"By hand"," "," "," "," ","2"," "
"Carrying less than 5 kg"," ","1","1"," "," "," "
"Carrying more than 5 kg"," ","1","1"," "," "," "
"Congested/cluttered working areas"," "," "," "," "," ","2"
"Exposure to chemicals","2"," "," "," "," "," "
"Exposure to excessive dust","1"," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","1"," "," "," "," ","1"
"Exposure to extreme temperatures","1"," "," "," "," ","1"
"Exposure to infectious agents/disease"," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","1"," "," "," "," ","1"
"Exposure to strong odors","1"," "," "," "," ","1"
"Finger dexterity"," "," ","2"," "," "," "
"Grasping"," "," ","2"," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","1"," "
"Keyboarding on phone"," "," "," "," ","2"," "
"Kneeling/squatting"," "," "," ","1","1"," "
"Lifting less than 5 kg"," "," ","2"," "," "," "
"Lifting more than 5 kg"," ","1","1"," "," "," "
"Other climbing"," ","1"," "," ","1"," "
"Pinching"," "," ","2"," "," "," "
"Pulling less than 5 kg"," ","2"," "," "," "," "
"Pulling more than 5 kg"," ","1","1"," "," "," "
"Pushing less than 5 kg"," ","2"," "," "," "," "
"Pushing more than 5 kg"," ","1","1"," "," "," "
"Reaching"," "," ","2"," "," "," "
"Sitting (Continuous)"," ","1"," ","1"," "," "
"Sitting (Intermittent)"," "," "," ","1","1"," "
"Stair climbing"," "," "," "," ","2"," "
"Standing (Continuous)"," ","1"," ","1"," "," "
"Standing (Intermittent)"," "," "," ","1","1"," "
"Travel via car required","2"," "," "," "," "," "
"Travel via public transportation required","2"," "," "," "," "," "
"Twisting /awkward posture"," "," "," "," ","2"," "
"Use of sharp tools","2"," "," "," "," "," "
"Walking"," "," "," ","1","1"," "
"Work only indoors","2"," "," "," "," "," "
"Work outdoors > 2 hour","1"," "," "," "," ","1"
"Total","18","13","15","7","15","10"
