"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","9"," "," "," "," "," "," "," "
"Bending"," ","1"," "," ","2","6"," "," "
"By hand"," ","1"," "," ","1","7"," "," "
"Carrying less than 5 kg"," ","2","5","2"," "," "," "," "
"Carrying more than 5 kg"," ","7","2"," "," "," "," "," "
"Congested/cluttered working areas","8"," "," "," "," "," "," ","1"
"Exposure to chemicals","9"," "," "," "," "," "," "," "
"Exposure to excessive dust","9"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","9"," "," "," "," "," "," "," "
"Exposure to extreme temperatures","9"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","2"," "," "," "," "," "," ","7"
"Exposure to insects or animals (e.g. bed bugs, cats)","9"," "," "," "," "," "," "," "
"Exposure to strong odors","8"," "," "," "," "," "," ","1"
"Finger dexterity"," ","1","5","3"," "," "," "," "
"Grasping"," ","1","5","3"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","3","6"," "," "
"Keyboarding on phone"," ","7"," "," "," ","2"," "," "
"Kneeling/squatting"," "," "," "," ","2","7"," "," "
"Lifting less than 5 kg"," ","1","5","3"," "," "," "," "
"Lifting more than 5 kg"," ","6","3"," "," "," "," "," "
"Other climbing"," ","9"," "," "," "," "," "," "
"Pinching"," ","2","5","2"," "," "," "," "
"Pulling less than 5 kg"," ","7","2"," "," "," "," "," "
"Pulling more than 5 kg"," ","7","2"," "," "," "," "," "
"Pushing less than 5 kg"," ","7","2"," "," "," "," "," "
"Pushing more than 5 kg"," ","6","3"," "," "," "," "," "
"Reaching"," ","1","5","3"," "," "," "," "
"Sitting (Continuous)"," ","4"," "," ","1","4"," "," "
"Sitting (Intermittent)"," "," "," "," ","1","7","1"," "
"Stair climbing"," ","3"," "," "," ","6"," "," "
"Standing (Continuous)"," ","2"," "," ","1","6"," "," "
"Standing (Intermittent)"," "," "," "," ","2","6","1"," "
"Travel via car required","9"," "," "," "," "," "," "," "
"Travel via public transportation required","9"," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","5"," "," ","1","3"," "," "
"Use of sharp tools","8"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","3","6"," "," "
"Work only indoors","1"," "," "," "," "," "," ","8"
"Work outdoors > 2 hour","9"," "," "," "," "," "," "," "
"Total","108","80","44","16","17","66","2","18"
