"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," "," ","1","8"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","2"," ","7"," "," "
"Follow multiple step commands"," "," "," "," "," ","8","1"
"Integrating new learning into practice"," "," "," ","1","8"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","7","2"
"Practicing good judgement and decision-making"," "," ","1"," ","8"," "," "
"Problem solving"," "," ","2"," ","7"," "," "
"Reading electronic documents"," ","2","3","2","2"," "," "
"Reading paper documents (handwritten or typed)"," "," ","3","5","1"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","6","2"
"Self-starting/initiating"," "," ","3"," ","6"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2","1","6"," "," "
"Total","1","2","16","10","53","21","5"
