"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","8"," "," "," "," "," "," "," ","1"
"Bending"," "," "," "," ","3","6"," "," "," "
"By hand"," ","1"," "," ","3","4"," ","1"," "
"Carrying less than 5 kg"," ","2","5","2"," "," "," "," "," "
"Carrying more than 5 kg"," ","5","4"," "," "," "," "," "," "
"Congested/cluttered working areas","5"," "," "," "," "," "," "," ","4"
"Exposure to chemicals","9"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","8"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","7"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","8"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","7"
"Exposure to insects or animals (e.g. bed bugs, cats)","8"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","4"," "," "," "," "," "," "," ","5"
"Finger dexterity"," ","2","2","4"," "," ","1"," "," "
"Grasping"," ","1","3","3"," "," ","2"," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","2","5"," "," "," "
"Keyboarding on phone"," ","5"," "," "," ","4"," "," "," "
"Kneeling/squatting"," "," "," "," ","3","6"," "," "," "
"Lifting less than 5 kg"," ","1","6","2"," "," "," "," "," "
"Lifting more than 5 kg"," ","4","5"," "," "," "," "," "," "
"Other climbing"," ","8"," "," "," ","1"," "," "," "
"Pinching"," ","2","4","2"," "," ","1"," "," "
"Pulling less than 5 kg"," ","6","3"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","5","4"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","6","3"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","4","5"," "," "," "," "," "," "
"Reaching"," ","1","3","3"," "," ","2"," "," "
"Sitting (Continuous)"," ","3"," "," ","2","4"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","3","5"," ","1"," "
"Stair climbing"," ","1"," "," "," ","8"," "," "," "
"Standing (Continuous)"," ","1"," "," ","3","5"," "," "," "
"Standing (Intermittent)"," "," "," "," ","5","3"," ","1"," "
"Travel via car required","9"," "," "," "," "," "," "," "," "
"Travel via public transportation required","9"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","3"," "," "," ","6"," "," "," "
"Use of sharp tools","9"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","3","4"," ","2"," "
"Work only indoors","3"," "," "," "," "," "," "," ","6"
"Work outdoors > 2 hour","8"," "," "," "," "," "," "," ","1"
"Total","97","63","47","16","27","61","6","5","29"
