"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","2"," "," "," "," ","1","6"
"Group work (e.g. Client and family meetings, team meetings)"," ","2","1","6"," "," "," "
"Independent work"," "," ","2"," ","7"," "," "
"Work at a fast pace"," "," ","1","3","5"," "," "
"Work under tight deadlines"," ","3","2","1","3"," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","2","7"
"Work with clients who have experienced psychological trauma","4"," "," "," "," ","2","3"
"Work with clients who may be aggressive","3"," "," "," "," "," ","6"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","6","3"
"Work with clients with cognitive deficits","2"," "," "," "," ","5","2"
"Work with clients with multiple diagnoses"," "," "," "," "," ","7","2"
"Work with interdisciplinary team members"," "," ","3","4","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","2"," "," "," "," ","2","5"
"Work with more than one preceptor"," ","3","1","3","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","7"," ","2"," "," "," "
"Work with other students"," ","4","4","1"," "," "," "
"Total","13","19","14","20","19","25","34"
