"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2"," ","8"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","2","1","7"," "," "
"Follow multiple step commands"," "," "," "," "," ","9","1"
"Integrating new learning into practice"," "," ","2","1","7"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","8","2"
"Practicing good judgement and decision-making"," "," ","2","1","7"," "," "
"Problem solving"," "," ","4"," ","6"," "," "
"Reading electronic documents"," ","1","4","3","2"," "," "
"Reading paper documents (handwritten or typed)"," "," ","5","5"," "," "," "
"Require instant recall of facts/data","1"," "," "," "," ","7","2"
"Self-starting/initiating"," "," ","4","1","5"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","1","6"," "," "
"Total","1","1","28","13","48","24","5"
