"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","10"," "," "," "," "," "," "," "," "
"Bending"," ","1"," "," ","3","6"," "," "," "
"By hand"," ","1"," "," ","3","6"," "," "," "
"Carrying less than 5 kg"," ","2","6","2"," "," "," "," "," "
"Carrying more than 5 kg"," ","6","4"," "," "," "," "," "," "
"Congested/cluttered working areas","8"," "," "," "," "," "," "," ","2"
"Exposure to chemicals","10"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","10"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","9"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","10"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","8"
"Exposure to insects or animals (e.g. bed bugs, cats)","10"," "," "," "," "," "," "," "," "
"Exposure to strong odors","7"," "," "," "," "," "," "," ","3"
"Finger dexterity"," ","2","4","3"," "," ","1"," "," "
"Grasping"," ","1","5","3"," "," ","1"," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","4","5"," "," "," "
"Keyboarding on phone"," ","8"," "," "," ","2"," "," "," "
"Kneeling/squatting"," "," "," "," ","3","7"," "," "," "
"Lifting less than 5 kg"," ","1","6","3"," "," "," "," "," "
"Lifting more than 5 kg"," ","6","4"," "," "," "," "," "," "
"Other climbing"," ","10"," "," "," "," "," "," "," "
"Pinching"," ","3","4","2"," "," ","1"," "," "
"Pulling less than 5 kg"," ","7","3"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","7","3"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","7","3"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","6","4"," "," "," "," "," "," "
"Reaching"," ","1","5","3"," "," ","1"," "," "
"Sitting (Continuous)"," ","4"," "," ","1","5"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","2","7"," ","1"," "
"Stair climbing"," ","2"," "," "," ","8"," "," "," "
"Standing (Continuous)"," ","1"," "," ","2","7"," "," "," "
"Standing (Intermittent)"," "," "," "," ","4","5"," ","1"," "
"Travel via car required","10"," "," "," "," "," "," "," "," "
"Travel via public transportation required","10"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","5"," "," ","1","4"," "," "," "
"Use of sharp tools","9"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","3","5"," ","2"," "
"Work only indoors","2"," "," "," "," "," "," "," ","8"
"Work outdoors > 2 hour","10"," "," "," "," "," "," "," "," "
"Total","117","82","51","16","26","67","4","4","23"
