"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","2"," "," "," "," ","2","6"
"Group work (e.g. Client and family meetings, team meetings)"," ","1","1","8"," "," "," "
"Independent work"," "," ","5"," ","5"," "," "
"Work at a fast pace"," "," ","2","4","4"," "," "
"Work under tight deadlines"," ","4","2","3","1"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","2","7"
"Work with clients who have experienced psychological trauma","7"," "," "," "," ","1","2"
"Work with clients who may be aggressive","7"," "," "," "," "," ","3"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","6","4"
"Work with clients with cognitive deficits","2"," "," "," "," ","6","2"
"Work with clients with multiple diagnoses"," "," "," "," "," ","8","2"
"Work with interdisciplinary team members"," ","1","3","4","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","5","4"
"Work with more than one preceptor"," ","2","2","4","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","8"," ","2"," "," "," "
"Work with other students"," ","3","4","3"," "," "," "
"Total","20","19","19","28","14","30","30"
