"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Analytical or clinical/professional reasoning"," "," ","29","9","44"," "," ",1
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","22","18","42"," "," ",1
"Follow multiple step commands"," "," "," "," "," ","67","15",1
"Integrating new learning into practice"," "," ","23","13","46"," "," ",1
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","65","16",1
"Practicing good judgement and decision-making"," "," ","19","10","53"," "," ",1
"Problem solving"," "," ","26","10","46"," "," ",1
"Reading electronic documents"," ","3","27","42","10"," "," ",1
"Reading paper documents (handwritten or typed)"," ","5","16","50","11"," "," ",1
"Require instant recall of facts/data"," "," "," "," "," ","65","17",1
"Self-starting/initiating"," "," ","32","15","35"," "," ",1
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","19","19","44"," "," ",1
"Total","1","8","213","186","331","197","48",12
