"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","71"," "," "," "," "," "," "," ","12"
"Bending"," ","14"," "," ","12","54"," ","3"," "
"By hand"," ","23"," "," ","16","36"," ","8"," "
"Carrying less than 5 kg"," ","29","42","11"," "," ","1"," "," "
"Carrying more than 5 kg"," ","60","16","7"," "," "," "," "," "
"Congested/cluttered working areas","53"," "," "," "," "," "," "," ","30"
"Exposure to chemicals","66"," "," "," "," "," "," "," ","17"
"Exposure to excessive dust","80"," "," "," "," "," "," "," ","3"
"Exposure to excessive noise /auditory distractions","50"," "," "," "," "," "," "," ","33"
"Exposure to extreme temperatures","81"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","15"," "," "," "," "," "," "," ","68"
"Exposure to insects or animals (e.g. bed bugs, cats)","76"," "," "," "," "," "," "," ","7"
"Exposure to strong odors","35"," "," "," "," "," "," "," ","48"
"Finger dexterity"," ","22","34","16"," "," ","11"," "," "
"Grasping"," ","16","39","18"," "," ","10"," "," "
"Keyboarding on computer or tablet"," ","5"," "," ","39","32"," ","7"," "
"Keyboarding on phone"," ","72"," "," ","1","10"," "," "," "
"Kneeling/squatting"," ","21"," "," ","6","55"," ","1"," "
"Lifting less than 5 kg"," ","21","46","12"," "," ","4"," "," "
"Lifting more than 5 kg"," ","36","40","7"," "," "," "," "," "
"Other climbing"," ","78"," "," "," ","5"," "," "," "
"Pinching"," ","39","35","6"," "," ","3"," "," "
"Pulling less than 5 kg"," ","41","37","5"," "," "," "," "," "
"Pulling more than 5 kg"," ","44","32","7"," "," "," "," "," "
"Pushing less than 5 kg"," ","30","46","7"," "," "," "," "," "
"Pushing more than 5 kg"," ","30","47","6"," "," "," "," "," "
"Reaching"," ","16","42","15"," "," ","10"," "," "
"Sitting (Continuous)"," ","29"," "," ","11","43"," "," "," "
"Sitting (Intermittent)"," ","1"," "," ","29","50"," ","3"," "
"Stair climbing"," ","29"," "," ","8","43"," ","3"," "
"Standing (Continuous)"," ","10"," "," ","15","42"," ","16"," "
"Standing (Intermittent)"," "," "," "," ","37","29"," ","17"," "
"Travel via car required","82"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","79"," "," "," "," "," "," "," ","4"
"Twisting /awkward posture"," ","41"," "," ","4","37"," ","1"," "
"Use of sharp tools","78"," "," "," "," "," "," "," ","5"
"Walking"," "," "," "," ","20","40"," ","23"," "
"Work only indoors","3"," "," "," "," "," "," "," ","80"
"Work outdoors > 2 hour","83"," "," "," "," "," "," "," "," "
"Total","852","707","456","117","198","476","39","82","310"
