"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","19"," "," "," "," ","17","46",1
"Group work (e.g. Client and family meetings, team meetings)"," ","9","10","62","1"," "," ",1
"Independent work"," ","1","23","38","20"," "," ",1
"Work at a fast pace"," ","1","13","15","53"," "," ",1
"Work under tight deadlines"," ","10","23","33","16"," "," ",1
"Work with clients that speak little or no English","1"," "," "," "," ","46","35",1
"Work with clients who have experienced psychological trauma","24"," "," "," "," ","14","44",1
"Work with clients who may be aggressive","28"," "," "," "," ","8","46",1
"Work with clients with challenging economic and/or personal circumstances","2"," "," "," "," ","47","33",1
"Work with clients with cognitive deficits"," "," "," "," "," ","69","13",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","79","3",1
"Work with interdisciplinary team members"," "," ","27","24","31"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","52","29",1
"Work with more than one preceptor"," ","60","5","9","8"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","25","8","46","3"," "," ",1
"Work with other students"," ","47","3","30","2"," "," ",1
"Total","75","153","112","257","134","332","249",16
