"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "
"Bending"," ","1"," ","1","2"," "
"By hand"," "," "," "," ","4"," "
"Carrying less than 5 kg"," ","1","3"," "," "," "
"Carrying more than 5 kg"," ","3","1"," "," "," "
"Congested/cluttered working areas"," "," "," "," "," ","4"
"Exposure to chemicals","3"," "," "," "," ","1"
"Exposure to excessive dust","3"," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","2"," "," "," "," ","2"
"Exposure to extreme temperatures","3"," "," "," "," ","1"
"Exposure to infectious agents/disease","1"," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","2"," "," "," "," ","2"
"Exposure to strong odors","2"," "," "," "," ","2"
"Finger dexterity"," ","1","3"," "," "," "
"Grasping"," ","1","3"," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","3"," "
"Keyboarding on phone"," ","1"," "," ","3"," "
"Kneeling/squatting"," ","1"," ","1","2"," "
"Lifting less than 5 kg"," "," ","4"," "," "," "
"Lifting more than 5 kg"," ","3","1"," "," "," "
"Other climbing"," ","3"," "," ","1"," "
"Pinching"," ","1","3"," "," "," "
"Pulling less than 5 kg"," ","4"," "," "," "," "
"Pulling more than 5 kg"," ","3","1"," "," "," "
"Pushing less than 5 kg"," ","3","1"," "," "," "
"Pushing more than 5 kg"," ","2","2"," "," "," "
"Reaching"," ","1","3"," "," "," "
"Sitting (Continuous)"," ","1"," ","2","1"," "
"Sitting (Intermittent)"," "," "," ","2","2"," "
"Stair climbing"," "," "," "," ","4"," "
"Standing (Continuous)"," ","1"," ","1","2"," "
"Standing (Intermittent)"," "," "," ","2","2"," "
"Travel via car required","4"," "," "," "," "," "
"Travel via public transportation required","4"," "," "," "," "," "
"Twisting /awkward posture"," ","2"," "," ","2"," "
"Use of sharp tools","4"," "," "," "," "," "
"Walking"," "," "," ","1","3"," "
"Work only indoors","3"," "," "," "," ","1"
"Work outdoors > 2 hour","3"," "," "," "," ","1"
"Total","38","34","25","10","31","18"
