"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","2","1","6"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","3","1","5"," "," "
"Follow multiple step commands"," "," "," "," "," ","7","2"
"Integrating new learning into practice"," "," ","2","2","5"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","8","1"
"Practicing good judgement and decision-making"," "," ","3","1","5"," "," "
"Problem solving"," "," ","4"," ","5"," "," "
"Reading electronic documents"," ","1","4","3","1"," "," "
"Reading paper documents (handwritten or typed)"," "," ","4","5"," "," "," "
"Require instant recall of facts/data","2"," "," "," "," ","6","1"
"Self-starting/initiating"," "," ","3","1","5"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","4","1","4"," "," "
"Total","2","1","29","15","36","21","4"
