"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","9"," "," "," "," "," "," "," "
"Bending"," ","1"," "," ","3","5"," "," "
"By hand"," ","1"," "," ","1","7"," "," "
"Carrying less than 5 kg"," ","3","4","2"," "," "," "," "
"Carrying more than 5 kg"," ","7","2"," "," "," "," "," "
"Congested/cluttered working areas","7"," "," "," "," "," "," ","2"
"Exposure to chemicals","9"," "," "," "," "," "," "," "
"Exposure to excessive dust","8"," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","8"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","8"," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","2"," "," "," "," "," "," ","7"
"Exposure to insects or animals (e.g. bed bugs, cats)","8"," "," "," "," "," "," ","1"
"Exposure to strong odors","7"," "," "," "," "," "," ","2"
"Finger dexterity"," ","1","5","3"," "," "," "," "
"Grasping"," ","1","5","3"," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","3","5"," "," "
"Keyboarding on phone"," ","6"," "," "," ","3"," "," "
"Kneeling/squatting"," "," "," "," ","3","6"," "," "
"Lifting less than 5 kg"," ","1","5","3"," "," "," "," "
"Lifting more than 5 kg"," ","6","3"," "," "," "," "," "
"Other climbing"," ","8"," "," "," ","1"," "," "
"Pinching"," ","2","5","2"," "," "," "," "
"Pulling less than 5 kg"," ","7","2"," "," "," "," "," "
"Pulling more than 5 kg"," ","6","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","7","2"," "," "," "," "," "
"Pushing more than 5 kg"," ","5","4"," "," "," "," "," "
"Reaching"," ","1","5","3"," "," "," "," "
"Sitting (Continuous)"," ","3"," "," ","2","4"," "," "
"Sitting (Intermittent)"," "," "," "," ","2","6","1"," "
"Stair climbing"," ","2"," "," "," ","7"," "," "
"Standing (Continuous)"," ","1"," "," ","2","6"," "," "
"Standing (Intermittent)"," "," "," "," ","3","5","1"," "
"Travel via car required","9"," "," "," "," "," "," "," "
"Travel via public transportation required","9"," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","4"," "," ","1","4"," "," "
"Use of sharp tools","8"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","4","5"," "," "
"Work only indoors","2"," "," "," "," "," "," ","7"
"Work outdoors > 2 hour","8"," "," "," "," "," "," ","1"
"Total","102","74","45","16","24","64","2","24"
