"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","3"," "," "," "," ","2","4"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","8"," "," "," "
"Independent work"," "," ","5"," ","4"," "," "
"Work at a fast pace"," "," ","2","4","3"," "," "
"Work under tight deadlines"," ","3","2","4"," "," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","3","5"
"Work with clients who have experienced psychological trauma","6"," "," "," "," ","1","2"
"Work with clients who may be aggressive","7"," "," "," "," "," ","2"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","6","3"
"Work with clients with cognitive deficits","3"," "," "," "," ","5","1"
"Work with clients with multiple diagnoses"," "," "," "," "," ","7","2"
"Work with interdisciplinary team members"," ","1","2","4","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","2"," "," "," "," ","5","2"
"Work with more than one preceptor"," ","1","2","4","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","7"," ","2"," "," "," "
"Work with other students"," ","2","4","3"," "," "," "
"Total","22","14","18","29","11","29","21"
