"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Analytical or clinical/professional reasoning"," "," ","17","3","22"," "," ",1
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","12","10","20"," "," ",1
"Follow multiple step commands"," "," "," "," "," ","33","9",1
"Integrating new learning into practice"," "," ","13","7","22"," "," ",1
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","31","10",1
"Practicing good judgement and decision-making"," "," ","12","5","25"," "," ",1
"Problem solving"," "," ","16","5","21"," "," ",1
"Reading electronic documents"," ","2","14","20","6"," "," ",1
"Reading paper documents (handwritten or typed)"," ","5","6","26","5"," "," ",1
"Require instant recall of facts/data"," "," "," "," "," ","33","9",1
"Self-starting/initiating"," "," ","14","8","20"," "," ",1
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","10","9","23"," "," ",1
"Total","1","7","114","93","164","97","28",12
