"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","9"," "," "," "," ","9","24",1
"Group work (e.g. Client and family meetings, team meetings)"," ","5","5","31","1"," "," ",1
"Independent work"," ","1","16","16","9"," "," ",1
"Work at a fast pace"," "," ","3","11","28"," "," ",1
"Work under tight deadlines"," ","5","13","15","9"," "," ",1
"Work with clients that speak little or no English","1"," "," "," "," ","22","19",1
"Work with clients who have experienced psychological trauma","9"," "," "," "," ","10","23",1
"Work with clients who may be aggressive","13"," "," "," "," ","4","25",1
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","27","15",1
"Work with clients with cognitive deficits"," "," "," "," "," ","36","6",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","39","3",1
"Work with interdisciplinary team members"," "," ","14","12","16"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","24","17",1
"Work with more than one preceptor"," ","29","4","5","4"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","11","2","28","1"," "," ",1
"Work with other students"," ","19","2","19","2"," "," ",1
"Total","33","70","59","137","70","171","132",16
