"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","3"," "," "," "," "," "," "
"Bending"," ","1"," ","1","1"," "," "
"By hand"," "," "," "," ","3"," "," "
"Carrying less than 5 kg"," ","2","1"," "," "," "," "
"Carrying more than 5 kg"," ","2","1"," "," "," "," "
"Congested/cluttered working areas","2"," "," "," "," "," ","1"
"Exposure to chemicals","3"," "," "," "," "," "," "
"Exposure to excessive dust","3"," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," "
"Exposure to extreme temperatures","3"," "," "," "," "," "," "
"Exposure to infectious agents/disease"," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","2"," "," "," "," "," ","1"
"Exposure to strong odors","2"," "," "," "," "," ","1"
"Finger dexterity"," ","1","2"," "," "," "," "
"Grasping"," ","1","2"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," ","2","1"," "," "
"Keyboarding on phone"," ","2"," "," ","1"," "," "
"Kneeling/squatting"," ","1"," ","1","1"," "," "
"Lifting less than 5 kg"," ","2","1"," "," "," "," "
"Lifting more than 5 kg"," ","3"," "," "," "," "," "
"Other climbing"," ","3"," "," "," "," "," "
"Pinching"," ","2","1"," "," "," "," "
"Pulling less than 5 kg"," ","3"," "," "," "," "," "
"Pulling more than 5 kg"," ","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","3"," "," "," "," "," "
"Pushing more than 5 kg"," ","3"," "," "," "," "," "
"Reaching"," ","1","2"," "," "," "," "
"Sitting (Continuous)"," ","1"," ","1","1"," "," "
"Sitting (Intermittent)"," "," "," ","1","1","1"," "
"Stair climbing"," ","1"," "," ","2"," "," "
"Standing (Continuous)"," ","1"," "," ","2"," "," "
"Standing (Intermittent)"," "," "," ","1","2"," "," "
"Travel via car required","3"," "," "," "," "," "," "
"Travel via public transportation required","3"," "," "," "," "," "," "
"Twisting /awkward posture"," ","1"," ","1","1"," "," "
"Use of sharp tools","3"," "," "," "," "," "," "
"Walking"," "," "," ","1","2"," "," "
"Work only indoors","1"," "," "," "," "," ","2"
"Work outdoors > 1 hour","3"," "," "," "," "," "," "
"Total","34","37","10","9","18","1","8"
