"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","9"," "," "," "," ","9","27",1
"Group work (e.g. Client and family meetings, team meetings)"," ","5","5","34","1"," "," ",1
"Independent work"," ","1","16","19","9"," "," ",1
"Work at a fast pace"," "," ","5","11","29"," "," ",1
"Work under tight deadlines"," ","5","14","16","10"," "," ",1
"Work with clients that speak little or no English","1"," "," "," "," ","24","20",1
"Work with clients who have experienced psychological trauma","9"," "," "," "," ","10","26",1
"Work with clients who may be aggressive","14"," "," "," "," ","4","27",1
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","30","15",1
"Work with clients with cognitive deficits"," "," "," "," "," ","39","6",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","42","3",1
"Work with interdisciplinary team members"," "," ","15","13","17"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","27","17",1
"Work with more than one preceptor"," ","32","4","5","4"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","11","2","31","1"," "," ",1
"Work with other students"," ","20","2","21","2"," "," ",1
"Total","34","74","63","150","73","185","141",16
