"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Yes"
"Adverse lighting conditions","2"," "," "," "," "," "
"Bending"," "," "," ","1","1"," "
"By hand"," "," "," "," ","2"," "
"Carrying less than 2 kg"," ","1","1"," "," "," "
"Carrying more than 2 kg"," ","1","1"," "," "," "
"Congested/cluttered working areas","1"," "," "," "," ","1"
"Exposure to chemicals","2"," "," "," "," "," "
"Exposure to excessive dust","2"," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","2"," "," "," "," "," "
"Exposure to extreme temperatures","2"," "," "," "," "," "
"Exposure to infectious agents/disease"," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","2"," "," "," "," "," "
"Exposure to strong odors","2"," "," "," "," "," "
"Finger dexterity"," "," ","2"," "," "," "
"Grasping"," "," ","2"," "," "," "
"Keyboarding on computer or tablet"," "," "," ","1","1"," "
"Keyboarding on phone"," ","1"," "," ","1"," "
"Kneeling/squatting"," "," "," ","1","1"," "
"Lifting less than 2 kg"," ","1","1"," "," "," "
"Lifting more than 2 kg"," ","2"," "," "," "," "
"Other climbing"," ","2"," "," "," "," "
"Pinching"," ","1","1"," "," "," "
"Pulling less than 2 kg"," ","2"," "," "," "," "
"Pulling more than 2 kg"," ","2"," "," "," "," "
"Pushing less than 2 kg"," ","2"," "," "," "," "
"Pushing more than 2 kg"," ","2"," "," "," "," "
"Reaching"," "," ","2"," "," "," "
"Sitting (Continuous)"," ","1"," "," ","1"," "
"Sitting (Intermittent)"," "," "," ","1","1"," "
"Stair climbing"," "," "," "," ","2"," "
"Standing (Continuous)"," ","1"," "," ","1"," "
"Standing (Intermittent)"," "," "," ","1","1"," "
"Travel via car required","2"," "," "," "," "," "
"Travel via public transportation required","2"," "," "," "," "," "
"Twisting /awkward posture"," "," "," ","1","1"," "
"Use of sharp tools","2"," "," "," "," "," "
"Walking"," "," "," ","1","1"," "
"Work only indoors","1"," "," "," "," ","1"
"Work outdoors > 1 hour","2"," "," "," "," "," "
"Total","24","19","10","7","14","4"
