"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," "," "
"Bending"," "," "," "," ","1","3"," "," "
"By hand"," "," "," "," ","1","3"," "," "
"Carrying less than 5 kg"," "," ","2","2"," "," "," "," "
"Carrying more than 5 kg"," ","2","2"," "," "," "," "," "
"Congested/cluttered working areas","3"," "," "," "," "," "," ","1"
"Exposure to chemicals","4"," "," "," "," "," "," "," "
"Exposure to excessive dust","4"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," "," "
"Exposure to extreme temperatures","4"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","2"," "," "," "," "," "," ","2"
"Exposure to insects or animals (e.g. bed bugs, cats)","4"," "," "," "," "," "," "," "
"Exposure to strong odors","3"," "," "," "," "," "," ","1"
"Finger dexterity"," "," ","1","3"," "," "," "," "
"Grasping"," "," ","1","3"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","1","3"," "," "
"Keyboarding on phone"," ","2"," "," "," ","2"," "," "
"Kneeling/squatting"," "," "," "," ","1","3"," "," "
"Lifting less than 5 kg"," "," ","2","2"," "," "," "," "
"Lifting more than 5 kg"," ","3","1"," "," "," "," "," "
"Other climbing"," ","4"," "," "," "," "," "," "
"Pinching"," "," ","2","2"," "," "," "," "
"Pulling less than 5 kg"," ","3","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","3","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","3","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","2","2"," "," "," "," "," "
"Reaching"," "," ","1","3"," "," "," "," "
"Sitting (Continuous)"," ","2"," "," ","1","1"," "," "
"Sitting (Intermittent)"," "," "," "," "," ","3","1"," "
"Stair climbing"," "," "," "," "," ","4"," "," "
"Standing (Continuous)"," ","1"," "," ","1","2"," "," "
"Standing (Intermittent)"," "," "," "," ","1","2","1"," "
"Travel via car required","4"," "," "," "," "," "," "," "
"Travel via public transportation required","4"," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","1"," "," "," ","3"," "," "
"Use of sharp tools","4"," "," "," "," "," "," "," "
"Walking"," "," "," "," ","2","2"," "," "
"Work only indoors","1"," "," "," "," "," "," ","3"
"Work outdoors > 2 hour","4"," "," "," "," "," "," "," "
"Total","49","26","17","15","9","31","2","7"
