"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","22","6","36"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","20","11","33"," "," "
"Follow multiple step commands"," "," "," "," "," ","53","11"
"Integrating new learning into practice"," "," ","18","9","37"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","53","10"
"Practicing good judgement and decision-making"," "," ","15","6","43"," "," "
"Problem solving"," "," ","21","6","37"," "," "
"Reading electronic documents"," ","1","21","31","11"," "," "
"Reading paper documents (handwritten or typed)"," ","5","12","39","8"," "," "
"Require instant recall of facts/data"," "," "," "," "," ","51","13"
"Self-starting/initiating"," "," ","23","10","31"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","13","12","39"," "," "
"Total","1","6","165","130","275","157","34"
