"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","55"," "," "," "," "," "," "," ","9"
"Bending"," ","9"," "," ","11","41"," ","3"," "
"By hand"," ","18"," "," ","12","28"," ","6"," "
"Carrying less than 5 kg"," ","23","31","9"," "," ","1"," "," "
"Carrying more than 5 kg"," ","47","11","6"," "," "," "," "," "
"Congested/cluttered working areas","41"," "," "," "," "," "," "," ","23"
"Exposure to chemicals","51"," "," "," "," "," "," "," ","13"
"Exposure to excessive dust","61"," "," "," "," "," "," "," ","3"
"Exposure to excessive noise /auditory distractions","37"," "," "," "," "," "," "," ","27"
"Exposure to extreme temperatures","62"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","11"," "," "," "," "," "," "," ","53"
"Exposure to insects or animals (e.g. bed bugs, cats)","57"," "," "," "," "," "," "," ","7"
"Exposure to strong odors","26"," "," "," "," "," "," "," ","38"
"Finger dexterity"," ","16","28","10"," "," ","10"," "," "
"Grasping"," ","11","32","14"," "," ","7"," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","30","26"," ","6"," "
"Keyboarding on phone"," ","57"," "," "," ","7"," "," "," "
"Kneeling/squatting"," ","13"," "," ","6","44"," ","1"," "
"Lifting less than 5 kg"," ","15","34","11"," "," ","4"," "," "
"Lifting more than 5 kg"," ","24","34","6"," "," "," "," "," "
"Other climbing"," ","60"," "," "," ","4"," "," "," "
"Pinching"," ","31","25","6"," "," ","2"," "," "
"Pulling less than 5 kg"," ","34","26","4"," "," "," "," "," "
"Pulling more than 5 kg"," ","34","25","5"," "," "," "," "," "
"Pushing less than 5 kg"," ","24","35","5"," "," "," "," "," "
"Pushing more than 5 kg"," ","21","38","5"," "," "," "," "," "
"Reaching"," ","11","34","12"," "," ","7"," "," "
"Sitting (Continuous)"," ","25"," "," ","8","31"," "," "," "
"Sitting (Intermittent)"," ","1"," "," ","21","39"," ","3"," "
"Stair climbing"," ","23"," "," ","8","30"," ","3"," "
"Standing (Continuous)"," ","10"," "," ","13","27"," ","14"," "
"Standing (Intermittent)"," "," "," "," ","28","21"," ","15"," "
"Travel via car required","64"," "," "," "," "," "," "," "," "
"Travel via public transportation required","60"," "," "," "," "," "," "," ","4"
"Twisting /awkward posture"," ","32"," "," ","4","27"," ","1"," "
"Use of sharp tools","62"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","14","29"," ","21"," "
"Work only indoors","1"," "," "," "," "," "," "," ","63"
"Work outdoors > 2 hour","64"," "," "," "," "," "," "," "," "
"Total","652","541","353","93","155","354","31","73","244"
