"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","15"," "," "," "," ","14","35"
"Group work (e.g. Client and family meetings, team meetings)"," ","5","10","48","1"," "," "
"Independent work"," ","1","22","27","14"," "," "
"Work at a fast pace"," ","1","8","9","46"," "," "
"Work under tight deadlines"," ","8","20","24","12"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","39","24"
"Work with clients who have experienced psychological trauma","17"," "," "," "," ","11","36"
"Work with clients who may be aggressive","20"," "," "," "," ","8","36"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","37","26"
"Work with clients with cognitive deficits"," "," "," "," "," ","54","10"
"Work with clients with multiple diagnoses"," "," "," "," "," ","60","4"
"Work with interdisciplinary team members"," "," ","21","15","28"," "," "
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","41","22"
"Work with more than one preceptor"," ","47","5","6","6"," "," "
"Work with Occupational Therapy Assistant(s)"," ","18","7","36","3"," "," "
"Work with other students"," ","36","4","22","2"," "," "
"Total","55","116","97","187","112","264","193"
