"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","7"," "," "," "," "," "," "," "
"Bending"," ","1"," "," ","2","4"," "," "
"By hand"," ","1"," "," ","1","5"," "," "
"Carrying less than 5 kg"," ","2","3","2"," "," "," "," "
"Carrying more than 5 kg"," ","5","2"," "," "," "," "," "
"Congested/cluttered working areas","6"," "," "," "," "," "," ","1"
"Exposure to chemicals","7"," "," "," "," "," "," "," "
"Exposure to excessive dust","7"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","7"," "," "," "," "," "," "," "
"Exposure to extreme temperatures","7"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","2"," "," "," "," "," "," ","5"
"Exposure to insects or animals (e.g. bed bugs, cats)","7"," "," "," "," "," "," "," "
"Exposure to strong odors","6"," "," "," "," "," "," ","1"
"Finger dexterity"," ","1","3","3"," "," "," "," "
"Grasping"," ","1","3","3"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","5"," "," "
"Keyboarding on phone"," ","5"," "," "," ","2"," "," "
"Kneeling/squatting"," "," "," "," ","2","5"," "," "
"Lifting less than 5 kg"," ","1","3","3"," "," "," "," "
"Lifting more than 5 kg"," ","5","2"," "," "," "," "," "
"Other climbing"," ","7"," "," "," "," "," "," "
"Pinching"," ","2","3","2"," "," "," "," "
"Pulling less than 5 kg"," ","5","2"," "," "," "," "," "
"Pulling more than 5 kg"," ","5","2"," "," "," "," "," "
"Pushing less than 5 kg"," ","5","2"," "," "," "," "," "
"Pushing more than 5 kg"," ","4","3"," "," "," "," "," "
"Reaching"," ","1","3","3"," "," "," "," "
"Sitting (Continuous)"," ","3"," "," ","1","3"," "," "
"Sitting (Intermittent)"," "," "," "," ","1","5","1"," "
"Stair climbing"," ","2"," "," "," ","5"," "," "
"Standing (Continuous)"," ","1"," "," ","1","5"," "," "
"Standing (Intermittent)"," "," "," "," ","2","4","1"," "
"Travel via car required","7"," "," "," "," "," "," "," "
"Travel via public transportation required","7"," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","3"," "," ","1","3"," "," "
"Use of sharp tools","6"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","3","4"," "," "
"Work only indoors","1"," "," "," "," "," "," ","6"
"Work outdoors > 2 hour","7"," "," "," "," "," "," "," "
"Total","84","60","31","16","16","50","2","14"
