"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","22","7","38"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","20","13","34"," "," "
"Follow multiple step commands"," "," "," "," "," ","56","11"
"Integrating new learning into practice"," "," ","19","10","38"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","56","10"
"Practicing good judgement and decision-making"," "," ","16","7","44"," "," "
"Problem solving"," "," ","22","7","38"," "," "
"Reading electronic documents"," ","1","23","32","11"," "," "
"Reading paper documents (handwritten or typed)"," ","5","12","42","8"," "," "
"Require instant recall of facts/data"," "," "," "," "," ","54","13"
"Self-starting/initiating"," "," ","23","12","32"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","15","13","39"," "," "
"Total","1","6","172","143","282","166","34"
