"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","57"," "," "," "," "," "," "," ","10"
"Bending"," ","10"," "," ","11","43"," ","3"," "
"By hand"," ","19"," "," ","12","30"," ","6"," "
"Carrying less than 5 kg"," ","26","31","9"," "," ","1"," "," "
"Carrying more than 5 kg"," ","49","12","6"," "," "," "," "," "
"Congested/cluttered working areas","42"," "," "," "," "," "," "," ","25"
"Exposure to chemicals","54"," "," "," "," "," "," "," ","13"
"Exposure to excessive dust","64"," "," "," "," "," "," "," ","3"
"Exposure to excessive noise /auditory distractions","38"," "," "," "," "," "," "," ","29"
"Exposure to extreme temperatures","65"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","12"," "," "," "," "," "," "," ","55"
"Exposure to insects or animals (e.g. bed bugs, cats)","59"," "," "," "," "," "," "," ","8"
"Exposure to strong odors","26"," "," "," "," "," "," "," ","41"
"Finger dexterity"," ","18","29","10"," "," ","10"," "," "
"Grasping"," ","12","33","15"," "," ","7"," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","33","26"," ","6"," "
"Keyboarding on phone"," ","60"," "," "," ","7"," "," "," "
"Kneeling/squatting"," ","16"," "," ","6","44"," ","1"," "
"Lifting less than 5 kg"," ","16","36","11"," "," ","4"," "," "
"Lifting more than 5 kg"," ","26","35","6"," "," "," "," "," "
"Other climbing"," ","63"," "," "," ","4"," "," "," "
"Pinching"," ","33","26","6"," "," ","2"," "," "
"Pulling less than 5 kg"," ","35","28","4"," "," "," "," "," "
"Pulling more than 5 kg"," ","36","26","5"," "," "," "," "," "
"Pushing less than 5 kg"," ","25","37","5"," "," "," "," "," "
"Pushing more than 5 kg"," ","23","39","5"," "," "," "," "," "
"Reaching"," ","12","36","12"," "," ","7"," "," "
"Sitting (Continuous)"," ","26"," "," ","9","32"," "," "," "
"Sitting (Intermittent)"," ","1"," "," ","22","41"," ","3"," "
"Stair climbing"," ","23"," "," ","8","33"," ","3"," "
"Standing (Continuous)"," ","10"," "," ","13","30"," ","14"," "
"Standing (Intermittent)"," "," "," "," ","29","23"," ","15"," "
"Travel via car required","67"," "," "," "," "," "," "," "," "
"Travel via public transportation required","63"," "," "," "," "," "," "," ","4"
"Twisting /awkward posture"," ","34"," "," ","4","28"," ","1"," "
"Use of sharp tools","65"," "," "," "," "," "," "," ","2"
"Walking"," "," "," "," ","16","30"," ","21"," "
"Work only indoors","1"," "," "," "," "," "," "," ","66"
"Work outdoors > 2 hour","67"," "," "," "," "," "," "," "," "
"Total","680","575","368","94","163","371","31","73","258"
