"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","15"," "," "," "," ","14","38"
"Group work (e.g. Client and family meetings, team meetings)"," ","5","10","51","1"," "," "
"Independent work"," ","1","22","30","14"," "," "
"Work at a fast pace"," ","1","10","9","47"," "," "
"Work under tight deadlines"," ","8","21","25","13"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","41","25"
"Work with clients who have experienced psychological trauma","17"," "," "," "," ","11","39"
"Work with clients who may be aggressive","21"," "," "," "," ","8","38"
"Work with clients with challenging economic and/or personal circumstances","1"," "," "," "," ","40","26"
"Work with clients with cognitive deficits"," "," "," "," "," ","57","10"
"Work with clients with multiple diagnoses"," "," "," "," "," ","63","4"
"Work with interdisciplinary team members"," "," ","22","16","29"," "," "
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","44","22"
"Work with more than one preceptor"," ","50","5","6","6"," "," "
"Work with Occupational Therapy Assistant(s)"," ","18","7","39","3"," "," "
"Work with other students"," ","37","4","24","2"," "," "
"Total","56","120","101","200","115","278","202"
