"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," "," ","1","6"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","2"," ","5"," "," "
"Follow multiple step commands"," "," "," "," "," ","6","1"
"Integrating new learning into practice"," "," "," ","1","6"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","6","1"
"Practicing good judgement and decision-making"," "," ","1"," ","6"," "," "
"Problem solving"," "," ","2"," ","5"," "," "
"Reading electronic documents"," ","2","3","2"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","3","3","1"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","4","2"
"Self-starting/initiating"," "," ","2"," ","5"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","2","1","4"," "," "
"Total","1","2","15","8","38","16","4"
