"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","6"," "," "," "," "," "," "," ","1"
"Bending"," "," "," "," ","2","5"," "," "," "
"By hand"," ","1"," "," ","2","3"," ","1"," "
"Carrying less than 5 kg"," ","2","4","1"," "," "," "," "," "
"Carrying more than 5 kg"," ","5","2"," "," "," "," "," "," "
"Congested/cluttered working areas","4"," "," "," "," "," "," "," ","3"
"Exposure to chemicals","7"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","6"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","6"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","6"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","1"," "," "," "," "," "," "," ","6"
"Exposure to insects or animals (e.g. bed bugs, cats)","6"," "," "," "," "," "," "," ","1"
"Exposure to strong odors","3"," "," "," "," "," "," "," ","4"
"Finger dexterity"," ","2","2","3"," "," "," "," "," "
"Grasping"," ","1","3","2"," "," ","1"," "," "
"Keyboarding on computer or tablet"," ","2"," "," "," ","5"," "," "," "
"Keyboarding on phone"," ","3"," "," "," ","4"," "," "," "
"Kneeling/squatting"," "," "," "," ","1","6"," "," "," "
"Lifting less than 5 kg"," ","1","5","1"," "," "," "," "," "
"Lifting more than 5 kg"," ","4","3"," "," "," "," "," "," "
"Other climbing"," ","6"," "," "," ","1"," "," "," "
"Pinching"," ","2","4","1"," "," "," "," "," "
"Pulling less than 5 kg"," ","5","2"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","4","3"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","5","2"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","3","4"," "," "," "," "," "," "
"Reaching"," ","1","3","2"," "," ","1"," "," "
"Sitting (Continuous)"," ","3"," "," ","2","2"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","2","4"," ","1"," "
"Stair climbing"," ","1"," "," "," ","6"," "," "," "
"Standing (Continuous)"," ","1"," "," ","1","5"," "," "," "
"Standing (Intermittent)"," "," "," "," ","3","3"," ","1"," "
"Travel via car required","7"," "," "," "," "," "," "," "," "
"Travel via public transportation required","7"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","3"," "," "," ","4"," "," "," "
"Use of sharp tools","7"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," ","2","4"," ","1"," "
"Work only indoors","3"," "," "," "," "," "," "," ","4"
"Work outdoors > 1 hour","6"," "," "," "," "," "," "," ","1"
"Total","75","55","37","10","15","52","2","4","23"
