"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","2"," "," "," "," ","1","4"
"Group work (e.g. Client and family meetings, team meetings)"," ","2","1","4"," "," "," "
"Independent work"," "," ","1"," ","6"," "," "
"Work at a fast pace"," "," ","1","3","3"," "," "
"Work under tight deadlines"," ","3","1","1","2"," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","2","5"
"Work with clients who have experienced psychological trauma","2"," "," "," "," ","2","3"
"Work with clients who may be aggressive","2"," "," "," "," "," ","5"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","6","1"
"Work with clients with cognitive deficits","1"," "," "," "," ","5","1"
"Work with clients with multiple diagnoses"," "," "," "," "," ","5","2"
"Work with interdisciplinary team members"," "," ","2","4","1"," "," "
"Work with medically fragile clients and/or those at risk of dying","2"," "," "," "," ","2","3"
"Work with more than one preceptor"," ","2","1","3","1"," "," "
"Work with Occupational Therapy Assistant(s)"," ","6"," ","1"," "," "," "
"Work with other students"," ","4","2","1"," "," "," "
"Total","9","17","9","17","13","23","24"
