"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3","1","3"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","1","1","2","3"," "," "
"Follow multiple step commands","1"," "," "," "," ","5","1"
"Integrating new learning into practice"," "," ","2","2","3"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","5","2"
"Practicing good judgement and decision-making"," "," ","2","2","3"," "," "
"Problem solving"," "," ","2","2","3"," "," "
"Reading electronic documents"," "," ","4","3"," "," "," "
"Reading paper documents (handwritten or typed)"," ","1","1","5"," "," "," "
"Require instant recall of facts/data","1"," "," "," "," ","4","2"
"Self-starting/initiating"," "," ","3","1","3"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","2","2"," "," "
"Total","2","2","21","20","20","14","5"
