"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Analytical or clinical/professional reasoning"," "," ","24","9","44"," "," ",1
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","20","17","40"," "," ",1
"Follow multiple step commands"," "," "," "," "," ","64","13",1
"Integrating new learning into practice"," "," ","21","13","43"," "," ",1
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","64","12",1
"Practicing good judgement and decision-making"," "," ","17","10","50"," "," ",1
"Problem solving"," "," ","24","10","43"," "," ",1
"Reading electronic documents"," ","2","26","40","9"," "," ",1
"Reading paper documents (handwritten or typed)"," ","5","13","50","9"," "," ",1
"Require instant recall of facts/data"," "," "," "," "," ","63","14",1
"Self-starting/initiating"," "," ","30","14","33"," "," ",1
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","17","18","42"," "," ",1
"Total","1","7","192","181","313","191","39",12
