"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","68"," "," "," "," "," "," "," ","10"
"Bending"," ","13"," "," ","11","52"," ","2"," "
"By hand"," ","24"," "," ","13","34"," ","7"," "
"Carrying less than 5 kg"," ","30","39","9"," "," "," "," "," "
"Carrying more than 5 kg"," ","59","14","5"," "," "," "," "," "
"Congested/cluttered working areas","54"," "," "," "," "," "," "," ","24"
"Exposure to chemicals","64"," "," "," "," "," "," "," ","14"
"Exposure to excessive dust","76"," "," "," "," "," "," "," ","2"
"Exposure to excessive noise /auditory distractions","48"," "," "," "," "," "," "," ","30"
"Exposure to extreme temperatures","76"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","16"," "," "," "," "," "," "," ","62"
"Exposure to insects or animals (e.g. bed bugs, cats)","71"," "," "," "," "," "," "," ","7"
"Exposure to strong odors","33"," "," "," "," "," "," "," ","45"
"Finger dexterity"," ","21","33","13"," "," ","11"," "," "
"Grasping"," ","14","39","17"," "," ","8"," "," "
"Keyboarding on computer or tablet"," ","3"," "," ","38","30"," ","7"," "
"Keyboarding on phone"," ","67"," "," ","1","10"," "," "," "
"Kneeling/squatting"," ","20"," "," ","5","52"," ","1"," "
"Lifting less than 5 kg"," ","21","43","12"," "," ","2"," "," "
"Lifting more than 5 kg"," ","34","38","6"," "," "," "," "," "
"Other climbing"," ","73"," "," "," ","5"," "," "," "
"Pinching"," ","37","33","6"," "," ","2"," "," "
"Pulling less than 5 kg"," ","42","33","3"," "," "," "," "," "
"Pulling more than 5 kg"," ","46","28","4"," "," "," "," "," "
"Pushing less than 5 kg"," ","30","44","4"," "," "," "," "," "
"Pushing more than 5 kg"," ","29","45","4"," "," "," "," "," "
"Reaching"," ","14","42","14"," "," ","8"," "," "
"Sitting (Continuous)"," ","27"," "," ","10","41"," "," "," "
"Sitting (Intermittent)"," ","1"," "," ","29","46"," ","2"," "
"Stair climbing"," ","26"," "," ","7","41"," ","4"," "
"Standing (Continuous)"," ","10"," "," ","14","38"," ","16"," "
"Standing (Intermittent)"," "," "," "," ","34","28"," ","16"," "
"Travel via car required","77"," "," "," "," "," "," "," ","1"
"Travel via public transportation required","74"," "," "," "," "," "," "," ","4"
"Twisting /awkward posture"," ","40"," "," ","4","34"," "," "," "
"Use of sharp tools","75"," "," "," "," "," "," "," ","3"
"Walking"," "," "," "," ","18","36"," ","24"," "
"Work only indoors","2"," "," "," "," "," "," "," ","76"
"Work outdoors > 1 hour","78"," "," "," "," "," "," "," "," "
"Total","812","681","431","97","184","447","31","79","280"
