"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently","NA_"
"Encounter situations requiring a quick physical response","19"," "," "," "," ","16","42",1
"Group work (e.g. Client and family meetings, team meetings)"," ","9","11","56","1"," "," ",1
"Independent work"," ","1","23","35","18"," "," ",1
"Work at a fast pace"," ","1","12","12","52"," "," ",1
"Work under tight deadlines"," ","10","21","28","18"," "," ",1
"Work with clients that speak little or no English","1"," "," "," "," ","44","32",1
"Work with clients who have experienced psychological trauma","23"," "," "," "," ","13","41",1
"Work with clients who may be aggressive","25"," "," "," "," ","9","43",1
"Work with clients with challenging economic and/or personal circumstances","2"," "," "," "," ","44","31",1
"Work with clients with cognitive deficits"," "," "," "," "," ","67","10",1
"Work with clients with multiple diagnoses"," "," "," "," "," ","71","6",1
"Work with interdisciplinary team members"," "," ","24","22","31"," "," ",1
"Work with medically fragile clients and/or those at risk of dying","3"," "," "," "," ","50","24",1
"Work with more than one preceptor"," ","57","5","9","6"," "," ",1
"Work with Occupational Therapy Assistant(s)"," ","26","6","44","1"," "," ",1
"Work with other students"," ","43","4","28","2"," "," ",1
"Total","73","147","106","234","129","314","229",16
