"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","4"," "," "," "," "," "," "," "
"Bending"," "," "," "," ","1","3"," "," "
"By hand"," "," "," "," ","1","3"," "," "
"Carrying less than 5 kg"," ","1","2","1"," "," "," "," "
"Carrying more than 5 kg"," ","3","1"," "," "," "," "," "
"Congested/cluttered working areas","2"," "," "," "," "," "," ","2"
"Exposure to chemicals","4"," "," "," "," "," "," "," "
"Exposure to excessive dust","3"," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","3"," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","3"," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","1"," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","3"," "," "," "," "," "," ","1"
"Exposure to strong odors","2"," "," "," "," "," "," ","2"
"Finger dexterity"," "," ","2","2"," "," "," "," "
"Grasping"," "," ","2","2"," "," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," "," ","3"," "," "
"Keyboarding on phone"," ","1"," "," "," ","3"," "," "
"Kneeling/squatting"," "," "," "," ","1","3"," "," "
"Lifting less than 5 kg"," "," ","3","1"," "," "," "," "
"Lifting more than 5 kg"," ","3","1"," "," "," "," "," "
"Other climbing"," ","3"," "," "," ","1"," "," "
"Pinching"," "," ","3","1"," "," "," "," "
"Pulling less than 5 kg"," ","4"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","3","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","4"," "," "," "," "," "," "
"Pushing more than 5 kg"," ","2","2"," "," "," "," "," "
"Reaching"," "," ","2","2"," "," "," "," "
"Sitting (Continuous)"," ","2"," "," ","2"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","1","2","1"," "
"Stair climbing"," "," "," "," "," ","4"," "," "
"Standing (Continuous)"," ","1"," "," ","1","2"," "," "
"Standing (Intermittent)"," "," "," "," ","1","2","1"," "
"Travel via car required","4"," "," "," "," "," "," "," "
"Travel via public transportation required","4"," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","1"," "," "," ","3"," "," "
"Use of sharp tools","4"," "," "," "," "," "," "," "
"Walking"," "," "," "," ","2","2"," "," "
"Work only indoors","2"," "," "," "," "," "," ","2"
"Work outdoors > 1 hour","3"," "," "," "," "," "," ","1"
"Total","42","29","19","9","10","31","2","14"
