"Question","No","Not Required","Required 1 to 5 times per day","Required half of a day","Required less than half of a day","Yes"
"Adverse lighting conditions","3"," "," "," "," "," "
"Bending"," "," "," ","1","2"," "
"By hand"," "," "," "," ","3"," "
"Carrying less than 5 kg"," ","1","2"," "," "," "
"Carrying more than 5 kg"," ","2","1"," "," "," "
"Congested/cluttered working areas"," "," "," "," "," ","3"
"Exposure to chemicals","2"," "," "," "," ","1"
"Exposure to excessive dust","2"," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","1"," "," "," "," ","2"
"Exposure to extreme temperatures","2"," "," "," "," ","1"
"Exposure to infectious agents/disease"," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","1"," "," "," "," ","2"
"Exposure to strong odors","1"," "," "," "," ","2"
"Finger dexterity"," "," ","3"," "," "," "
"Grasping"," "," ","3"," "," "," "
"Keyboarding on computer or tablet"," ","1"," "," ","2"," "
"Keyboarding on phone"," ","1"," "," ","2"," "
"Kneeling/squatting"," "," "," ","1","2"," "
"Lifting less than 5 kg"," "," ","3"," "," "," "
"Lifting more than 5 kg"," ","2","1"," "," "," "
"Other climbing"," ","2"," "," ","1"," "
"Pinching"," "," ","3"," "," "," "
"Pulling less than 5 kg"," ","3"," "," "," "," "
"Pulling more than 5 kg"," ","2","1"," "," "," "
"Pushing less than 5 kg"," ","2","1"," "," "," "
"Pushing more than 5 kg"," ","1","2"," "," "," "
"Reaching"," "," ","3"," "," "," "
"Sitting (Continuous)"," ","1"," ","1","1"," "
"Sitting (Intermittent)"," "," "," ","1","2"," "
"Stair climbing"," "," "," "," ","3"," "
"Standing (Continuous)"," ","1"," ","1","1"," "
"Standing (Intermittent)"," "," "," ","1","2"," "
"Travel via car required","3"," "," "," "," "," "
"Travel via public transportation required","3"," "," "," "," "," "
"Twisting /awkward posture"," ","1"," "," ","2"," "
"Use of sharp tools","3"," "," "," "," "," "
"Walking"," "," "," ","1","2"," "
"Work only indoors","2"," "," "," "," ","1"
"Work outdoors > 1 hour","2"," "," "," "," ","1"
"Total","25","20","23","7","25","17"
