"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than half of a day","Yes"
"Adverse lighting conditions","6"," "," "," "," "," "," "," "
"Bending"," ","1"," "," ","1","4"," "," "
"By hand"," ","1"," "," ","1","4"," "," "
"Carrying less than 5 kg"," ","2","3","1"," "," "," "," "
"Carrying more than 5 kg"," ","5","1"," "," "," "," "," "
"Congested/cluttered working areas","5"," "," "," "," "," "," ","1"
"Exposure to chemicals","6"," "," "," "," "," "," "," "
"Exposure to excessive dust","6"," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","6"," "," "," "," "," "," "," "
"Exposure to extreme temperatures","6"," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","1"," "," "," "," "," "," ","5"
"Exposure to insects or animals (e.g. bed bugs, cats)","6"," "," "," "," "," "," "," "
"Exposure to strong odors","5"," "," "," "," "," "," ","1"
"Finger dexterity"," ","1","3","2"," "," "," "," "
"Grasping"," ","1","3","2"," "," "," "," "
"Keyboarding on computer or tablet"," "," "," "," ","1","5"," "," "
"Keyboarding on phone"," ","4"," "," "," ","2"," "," "
"Kneeling/squatting"," "," "," "," ","1","5"," "," "
"Lifting less than 5 kg"," ","1","3","2"," "," "," "," "
"Lifting more than 5 kg"," ","5","1"," "," "," "," "," "
"Other climbing"," ","6"," "," "," "," "," "," "
"Pinching"," ","2","3","1"," "," "," "," "
"Pulling less than 5 kg"," ","5","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","5","1"," "," "," "," "," "
"Pushing less than 5 kg"," ","5","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","4","2"," "," "," "," "," "
"Reaching"," ","1","3","2"," "," "," "," "
"Sitting (Continuous)"," ","3"," "," ","1","2"," "," "
"Sitting (Intermittent)"," "," "," "," ","1","4","1"," "
"Stair climbing"," ","2"," "," "," ","4"," "," "
"Standing (Continuous)"," ","1"," "," "," ","5"," "," "
"Standing (Intermittent)"," "," "," "," ","1","4","1"," "
"Travel via car required","6"," "," "," "," "," "," "," "
"Travel via public transportation required","6"," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","3"," "," ","1","2"," "," "
"Use of sharp tools","5"," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","2","4"," "," "
"Work only indoors","1"," "," "," "," "," "," ","5"
"Work outdoors > 1 hour","6"," "," "," "," "," "," "," "
"Total","71","58","25","10","10","45","2","13"
