"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","8"," "," "," "," "," "," "," ","1"
"Bending"," "," "," "," ","1","7"," ","1"," "
"By hand"," ","2"," "," ","1","6"," "," "," "
"Carrying less than 9 kg"," ","3","4","1"," "," ","1"," "," "
"Carrying more than 9 kg"," ","6","3"," "," "," "," "," "," "
"Congested/cluttered working areas","8"," "," "," "," "," "," "," ","1"
"Exposure to chemicals","9"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","9"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","7"," "," "," "," "," "," "," ","2"
"Exposure to extreme temperatures","8"," "," "," "," "," "," "," ","1"
"Exposure to infectious agents/disease","4"," "," "," "," "," "," "," ","5"
"Exposure to insects or animals (e.g. bed bugs, cats)","9"," "," "," "," "," "," "," "," "
"Exposure to strong odors","7"," "," "," "," "," "," "," ","2"
"Finger dexterity"," "," ","4"," "," "," ","5"," "," "
"Grasping"," "," ","4","1"," "," ","4"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","4","3"," ","2"," "
"Keyboarding on phone"," ","9"," "," "," "," "," "," "," "
"Kneeling/squatting"," ","1"," "," ","2","5"," ","1"," "
"Lifting less than 9 kg"," ","2","4","2"," "," ","1"," "," "
"Lifting more than 9 kg"," ","5","4"," "," "," "," "," "," "
"Other climbing"," ","8"," "," "," ","1"," "," "," "
"Pinching"," "," ","5","1"," "," ","3"," "," "
"Pulling less than 9 kg"," ","6","3"," "," "," "," "," "," "
"Pulling more than 9 kg"," ","7","2"," "," "," "," "," "," "
"Pushing less than 9 kg"," ","6","3"," "," "," "," "," "," "
"Pushing more than 9 kg"," ","7","2"," "," "," "," "," "," "
"Reaching"," "," ","4","3"," "," ","2"," "," "
"Sitting (Continuous)"," ","1"," "," ","1","3"," ","4"," "
"Sitting (Intermittent)"," "," "," "," ","2","2"," ","5"," "
"Stair climbing"," ","2"," "," ","1","4"," ","2"," "
"Standing (Continuous)"," ","2"," "," ","2","3"," ","2"," "
"Standing (Intermittent)"," ","1"," "," ","2","2"," ","4"," "
"Travel via car required","6"," "," "," "," "," "," "," ","3"
"Travel via public transportation required","8"," "," "," "," "," "," "," ","1"
"Twisting /awkward posture"," ","3"," "," ","1","4"," ","1"," "
"Use of sharp tools","9"," "," "," "," "," "," "," "," "
"Walking"," "," "," "," "," ","7"," ","2"," "
"Work only indoors","1"," "," "," "," "," "," "," ","8"
"Work outdoors > 1 hour","9"," "," "," "," "," "," "," "," "
"Total","102","71","42","8","17","47","16","24","24"
