"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","4"," "," "," "," ","1","4"
"Group work (e.g. Client and family meetings, team meetings)"," "," "," ","9"," "," "," "
"Independent work"," "," ","3","4","2"," "," "
"Work at a fast pace"," ","1","3","4","1"," "," "
"Work under tight deadlines"," ","3","2","4"," "," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","3","5"
"Work with clients who have experienced psychological trauma","4"," "," "," "," ","1","4"
"Work with clients who may be aggressive","6"," "," "," "," ","1","2"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","2","7"
"Work with clients with cognitive deficits","2"," "," "," "," ","5","2"
"Work with clients with multiple diagnoses"," "," "," "," "," ","4","5"
"Work with interdisciplinary team members"," "," ","2","6","1"," "," "
"Work with medically fragile clients and/or those at risk of dying","5"," "," "," "," ","2","2"
"Work with more than one preceptor"," ","3","1","3","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","4"," ","5"," "," "," "
"Work with other students"," ","1"," ","8"," "," "," "
"Total","22","12","11","43","6","19","31"
