"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","36"," "," "," "," "," "," "," ","3"
"Bending"," ","3"," "," ","7","29"," "," "," "
"By hand"," ","4"," "," ","10","21"," ","4"," "
"Carrying less than 5 kg"," ","10","23","5"," "," ","1"," "," "
"Carrying more than 5 kg"," ","26","13"," "," "," "," "," "," "
"Congested/cluttered working areas","27"," "," "," "," "," "," "," ","12"
"Exposure to chemicals","37"," "," "," "," "," "," "," ","2"
"Exposure to excessive dust","38"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","27"," "," "," "," "," "," "," ","12"
"Exposure to extreme temperatures","36"," "," "," "," "," "," "," ","3"
"Exposure to infectious agents/disease","14"," "," "," "," "," "," "," ","25"
"Exposure to insects or animals (e.g. bed bugs, cats)","37"," "," "," "," "," "," "," ","2"
"Exposure to strong odors","30"," "," "," "," "," "," "," ","9"
"Finger dexterity"," ","3","20","11"," "," ","5"," "," "
"Grasping"," ","3","18","12"," "," ","6"," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","10","24"," ","3"," "
"Keyboarding on phone"," ","35"," "," "," ","4"," "," "," "
"Kneeling/squatting"," ","9"," "," ","3","27"," "," "," "
"Lifting less than 5 kg"," ","10","17","9"," "," ","3"," "," "
"Lifting more than 5 kg"," ","18","18","3"," "," "," "," "," "
"Other climbing"," ","38"," "," ","1"," "," "," "," "
"Pinching"," ","9","19","7"," "," ","4"," "," "
"Pulling less than 5 kg"," ","19","18","1"," "," ","1"," "," "
"Pulling more than 5 kg"," ","24","12","2"," "," ","1"," "," "
"Pushing less than 5 kg"," ","14","21","3"," "," ","1"," "," "
"Pushing more than 5 kg"," ","10","17","10"," "," ","2"," "," "
"Reaching"," ","2","17","14"," "," ","6"," "," "
"Sitting (Continuous)"," ","7"," "," ","4","27"," ","1"," "
"Sitting (Intermittent)"," "," "," "," ","16","20"," ","3"," "
"Stair climbing"," ","22"," "," ","1","16"," "," "," "
"Standing (Continuous)"," ","7"," "," ","10","18"," ","4"," "
"Standing (Intermittent)"," "," "," "," ","18","12"," ","9"," "
"Travel via car required","35"," "," "," "," "," "," "," ","4"
"Travel via public transportation required","34"," "," "," "," "," "," "," ","5"
"Twisting /awkward posture"," ","22"," "," ","2","15"," "," "," "
"Use of sharp tools","35"," "," "," "," "," "," "," ","4"
"Walking"," ","1"," "," ","14","15"," ","9"," "
"Work only indoors","8"," "," "," "," "," "," "," ","31"
"Work outdoors > 2 hour","39"," "," "," "," "," "," "," "," "
"Total","433","298","213","77","96","228","30","33","113"
