"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","21","6","27"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","17","11","26"," "," "
"Follow multiple step commands"," "," "," "," "," ","45","9"
"Integrating new learning into practice"," "," ","13","9","32"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","46","7"
"Practicing good judgement and decision-making"," "," ","13","6","35"," "," "
"Problem solving"," "," ","17","6","31"," "," "
"Reading electronic documents"," ","2","18","28","6"," "," "
"Reading paper documents (handwritten or typed)"," ","4","12","32","6"," "," "
"Require instant recall of facts/data","1"," "," "," "," ","41","12"
"Self-starting/initiating"," "," ","19","10","25"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","13","11","30"," "," "
"Total","2","6","143","119","218","132","28"
