"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","11"," "," "," "," ","12","31"
"Group work (e.g. Client and family meetings, team meetings)"," ","5","3","45","1"," "," "
"Independent work"," ","1","19","22","12"," "," "
"Work at a fast pace"," "," ","7","11","36"," "," "
"Work under tight deadlines"," ","8","14","22","10"," "," "
"Work with clients that speak little or no English"," "," "," "," "," ","37","17"
"Work with clients who have experienced psychological trauma","16"," "," "," "," ","10","28"
"Work with clients who may be aggressive","15"," "," "," "," ","6","33"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","33","21"
"Work with clients with cognitive deficits","1"," "," "," "," ","46","7"
"Work with clients with multiple diagnoses"," "," "," "," "," ","52","2"
"Work with interdisciplinary team members"," "," ","15","18","21"," "," "
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","37","16"
"Work with more than one preceptor"," ","39","3","6","6"," "," "
"Work with Occupational Therapy Assistant(s)"," ","14","3","35","2"," "," "
"Work with other students"," ","31","3","18","2"," "," "
"Total","44","98","67","177","90","233","155"
