"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","2"," "," "," "," ","3","3"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","2","6"," "," "," "
"Independent work"," "," ","4","2","2"," "," "
"Work at a fast pace"," "," ","2","3","3"," "," "
"Work under tight deadlines"," ","3","1","3","1"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","2","5"
"Work with clients who have experienced psychological trauma","6"," "," "," "," "," ","2"
"Work with clients who may be aggressive","8"," "," "," "," "," "," "
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","5","3"
"Work with clients with cognitive deficits","2"," "," "," "," ","4","2"
"Work with clients with multiple diagnoses"," "," "," "," "," ","6","2"
"Work with interdisciplinary team members"," ","1","2","3","2"," "," "
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","6","1"
"Work with more than one preceptor"," ","2","2","3","1"," "," "
"Work with Occupational Therapy Assistant(s)"," ","7"," ","1"," "," "," "
"Work with other students"," ","3","2","3"," "," "," "
"Total","20","16","15","24","9","26","18"
