"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3","1","5"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","3","1","5"," "," "
"Follow multiple step commands"," "," "," "," "," ","7","2"
"Integrating new learning into practice"," "," ","2","2","5"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","9"," "
"Practicing good judgement and decision-making"," "," ","3","1","5"," "," "
"Problem solving"," "," ","5"," ","4"," "," "
"Reading electronic documents"," ","1","4","4"," "," "," "
"Reading paper documents (handwritten or typed)"," "," ","3","6"," "," "," "
"Require instant recall of facts/data","2"," "," "," "," ","6","1"
"Self-starting/initiating"," "," ","4","1","4"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","5","1","3"," "," "
"Total","2","1","32","17","31","22","3"
