"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","21","6","30"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","17","13","27"," "," "
"Follow multiple step commands"," "," "," "," "," ","48","9"
"Integrating new learning into practice"," "," ","14","9","34"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","48","8"
"Practicing good judgement and decision-making"," "," ","13","7","37"," "," "
"Problem solving"," "," ","17","7","33"," "," "
"Reading electronic documents"," ","1","20","30","6"," "," "
"Reading paper documents (handwritten or typed)"," ","4","12","35","6"," "," "
"Require instant recall of facts/data"," "," "," "," "," ","44","13"
"Self-starting/initiating"," "," ","20","12","25"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","15","12","30"," "," "
"Total","1","5","149","131","228","140","30"
