"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","11"," "," "," "," "," "," "," "," "
"Bending"," ","1"," "," ","4","6"," "," "," "
"By hand"," ","3"," "," ","2","6"," "," "," "
"Carrying less than 5 kg"," ","3","5","2"," "," ","1"," "," "
"Carrying more than 5 kg"," ","10","1"," "," "," "," "," "," "
"Congested/cluttered working areas","11"," "," "," "," "," "," "," "," "
"Exposure to chemicals","11"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","11"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","11"," "," "," "," "," "," "," "," "
"Exposure to extreme temperatures","11"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","3"," "," "," "," "," "," "," ","8"
"Exposure to insects or animals (e.g. bed bugs, cats)","11"," "," "," "," "," "," "," "," "
"Exposure to strong odors","10"," "," "," "," "," "," "," ","1"
"Finger dexterity"," ","2","5","3"," "," ","1"," "," "
"Grasping"," ","1","6","3"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","5","6"," "," "," "
"Keyboarding on phone"," ","10"," "," "," ","1"," "," "," "
"Kneeling/squatting"," "," "," "," ","4","7"," "," "," "
"Lifting less than 5 kg"," ","1","5","4"," "," ","1"," "," "
"Lifting more than 5 kg"," ","7","4"," "," "," "," "," "," "
"Other climbing"," ","11"," "," "," "," "," "," "," "
"Pinching"," ","3","5","2"," "," ","1"," "," "
"Pulling less than 5 kg"," ","8","3"," "," "," "," "," "," "
"Pulling more than 5 kg"," ","9","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","7","3"," "," "," ","1"," "," "
"Pushing more than 5 kg"," ","8","3"," "," "," "," "," "," "
"Reaching"," ","1","6","3"," "," ","1"," "," "
"Sitting (Continuous)"," ","4"," "," ","1","6"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","2","8"," ","1"," "
"Stair climbing"," ","3"," "," "," ","7"," ","1"," "
"Standing (Continuous)"," ","1"," "," ","3","6"," ","1"," "
"Standing (Intermittent)"," "," "," "," ","4","4"," ","3"," "
"Travel via car required","11"," "," "," "," "," "," "," "," "
"Travel via public transportation required","11"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","6"," "," ","2","3"," "," "," "
"Use of sharp tools","10"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","4","5"," ","2"," "
"Work only indoors"," "," "," "," "," "," "," "," ","11"
"Work outdoors > 1 hour","11"," "," "," "," "," "," "," "," "
"Total","133","99","48","17","31","65","7","8","21"
