"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","2"," "," "," "," ","4","5"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","10"," "," "," "
"Independent work"," "," ","4","4","3"," "," "
"Work at a fast pace"," "," ","3","3","5"," "," "
"Work under tight deadlines"," ","2","2","5","2"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","1","9"
"Work with clients who have experienced psychological trauma","8"," "," "," "," "," ","3"
"Work with clients who may be aggressive","10"," "," "," "," "," ","1"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","5","6"
"Work with clients with cognitive deficits","3"," "," "," "," ","4","4"
"Work with clients with multiple diagnoses"," "," "," "," "," ","8","3"
"Work with interdisciplinary team members"," "," ","3","3","5"," "," "
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","8","2"
"Work with more than one preceptor"," ","3","1","5","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","9"," ","2"," "," "," "
"Work with other students"," ","2","1","8"," "," "," "
"Total","25","16","15","40","17","30","33"
