"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Encounter situations requiring a quick physical response","2"," "," "," "," ","3","4"
"Group work (e.g. Client and family meetings, team meetings)"," "," ","1","8"," "," "," "
"Independent work"," "," ","3","3","3"," "," "
"Work at a fast pace"," "," ","3","2","4"," "," "
"Work under tight deadlines"," ","2","2","4","1"," "," "
"Work with clients that speak little or no English","1"," "," "," "," ","1","7"
"Work with clients who have experienced psychological trauma","8"," "," "," "," "," ","1"
"Work with clients who may be aggressive","8"," "," "," "," "," ","1"
"Work with clients with challenging economic and/or personal circumstances"," "," "," "," "," ","3","6"
"Work with clients with cognitive deficits","2"," "," "," "," ","4","3"
"Work with clients with multiple diagnoses"," "," "," "," "," ","6","3"
"Work with interdisciplinary team members"," "," ","2","3","4"," "," "
"Work with medically fragile clients and/or those at risk of dying","1"," "," "," "," ","6","2"
"Work with more than one preceptor"," ","3","1","3","2"," "," "
"Work with Occupational Therapy Assistant(s)"," ","7"," ","2"," "," "," "
"Work with other students"," ","2","1","6"," "," "," "
"Total","22","14","13","31","14","23","27"
