"Question","No","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," ","1"," ","5"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," ","2","1","3"," "," "
"Follow multiple step commands"," "," "," "," ","5","1"
"Integrating new learning into practice"," ","2"," ","4"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," ","5","1"
"Practicing good judgement and decision-making"," ","1","1","4"," "," "
"Problem solving"," ","2"," ","4"," "," "
"Reading electronic documents"," ","3","2","1"," "," "
"Reading paper documents (handwritten or typed)"," ","3","3"," "," "," "
"Require instant recall of facts/data","1"," "," "," ","4","1"
"Self-starting/initiating"," ","3","1","2"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," ","3","1","2"," "," "
"Total","1","20","9","25","14","3"
