"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","6","3","10"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","5","4","10"," "," "
"Follow multiple step commands","1"," "," "," "," ","13","5"
"Integrating new learning into practice"," "," ","6","4","9"," "," "
"Memory aids can be used (e.g. information sheets)","1"," "," "," "," ","12","6"
"Practicing good judgement and decision-making"," "," ","4","2","13"," "," "
"Problem solving"," "," ","5","3","11"," "," "
"Reading electronic documents"," ","2","2","11","4"," "," "
"Reading paper documents (handwritten or typed)"," ","2","4","11","2"," "," "
"Require instant recall of facts/data"," "," "," "," "," ","14","5"
"Self-starting/initiating"," "," ","8","3","8"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","7","3","9"," "," "
"Total","2","4","47","44","76","39","16"
