"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","15"," "," "," "," "," "," "," ","4"
"Bending"," ","3"," "," ","4","11"," ","1"," "
"By hand"," ","4"," "," ","4","9"," ","2"," "
"Carrying less than 5 kg"," ","7","8","4"," "," "," "," "," "
"Carrying more than 5 kg"," ","12","4","3"," "," "," "," "," "
"Congested/cluttered working areas","9"," "," "," "," "," "," "," ","10"
"Exposure to chemicals","16"," "," "," "," "," "," "," ","3"
"Exposure to excessive dust","18"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","12"," "," "," "," "," "," "," ","7"
"Exposure to extreme temperatures","17"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","1"," "," "," "," "," "," "," ","18"
"Exposure to insects or animals (e.g. bed bugs, cats)","19"," "," "," "," "," "," "," "," "
"Exposure to strong odors","9"," "," "," "," "," "," "," ","10"
"Finger dexterity"," ","6","4","6"," "," ","3"," "," "
"Grasping"," ","3","7","8"," "," ","1"," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","7","10"," "," "," "
"Keyboarding on phone"," ","18"," "," "," ","1"," "," "," "
"Kneeling/squatting"," ","6"," "," ","2","10"," ","1"," "
"Lifting less than 5 kg"," ","6","8","4"," "," ","1"," "," "
"Lifting more than 5 kg"," ","8","7","4"," "," "," "," "," "
"Other climbing"," ","16"," "," "," ","3"," "," "," "
"Pinching"," ","7","8","4"," "," "," "," "," "
"Pulling less than 5 kg"," ","10","6","3"," "," "," "," "," "
"Pulling more than 5 kg"," ","13","3","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","7","9","3"," "," "," "," "," "
"Pushing more than 5 kg"," ","12","3","4"," "," "," "," "," "
"Reaching"," ","4","8","6"," "," ","1"," "," "
"Sitting (Continuous)"," ","6"," "," ","2","11"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","7","12"," "," "," "
"Stair climbing"," ","4"," "," ","1","12"," ","2"," "
"Standing (Continuous)"," ","2"," "," ","4","9"," ","4"," "
"Standing (Intermittent)"," "," "," "," ","11","3"," ","5"," "
"Travel via car required","19"," "," "," "," "," "," "," "," "
"Travel via public transportation required","19"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","7"," "," ","1","11"," "," "," "
"Use of sharp tools","18"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","8","4"," ","7"," "
"Work only indoors","1"," "," "," "," "," "," "," ","18"
"Work outdoors > 1 hour","19"," "," "," "," "," "," "," "," "
"Total","192","163","75","52","51","106","6","22","74"
