"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","5"," "," "," "," "," "," "," "," "
"Bending"," "," "," "," ","1","4"," "," "," "
"By hand"," ","1"," "," ","1","3"," "," "," "
"Carrying less than 5 kg"," "," ","2","3"," "," "," "," "," "
"Carrying more than 5 kg"," ","2","3"," "," "," "," "," "," "
"Congested/cluttered working areas","5"," "," "," "," "," "," "," "," "
"Exposure to chemicals","5"," "," "," "," "," "," "," "," "
"Exposure to excessive dust","5"," "," "," "," "," "," "," "," "
"Exposure to excessive noise /auditory distractions","4"," "," "," "," "," "," "," ","1"
"Exposure to extreme temperatures","5"," "," "," "," "," "," "," "," "
"Exposure to infectious agents/disease","2"," "," "," "," "," "," "," ","3"
"Exposure to insects or animals (e.g. bed bugs, cats)","5"," "," "," "," "," "," "," "," "
"Exposure to strong odors","2"," "," "," "," "," "," "," ","3"
"Finger dexterity"," "," ","1","3"," "," ","1"," "," "
"Grasping"," "," "," ","4"," "," ","1"," "," "
"Keyboarding on computer or tablet"," "," "," "," ","2","3"," "," "," "
"Keyboarding on phone"," ","4"," "," "," ","1"," "," "," "
"Kneeling/squatting"," ","1"," "," ","1","3"," "," "," "
"Lifting less than 5 kg"," "," ","2","3"," "," "," "," "," "
"Lifting more than 5 kg"," ","2","3"," "," "," "," "," "," "
"Other climbing"," ","4"," "," "," ","1"," "," "," "
"Pinching"," "," ","3","2"," "," "," "," "," "
"Pulling less than 5 kg"," ","2","2","1"," "," "," "," "," "
"Pulling more than 5 kg"," ","3","2"," "," "," "," "," "," "
"Pushing less than 5 kg"," ","2","2","1"," "," "," "," "," "
"Pushing more than 5 kg"," ","2","3"," "," "," "," "," "," "
"Reaching"," "," "," ","4"," "," ","1"," "," "
"Sitting (Continuous)"," ","1"," "," ","1","3"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","1","3"," ","1"," "
"Stair climbing"," "," "," "," "," ","5"," "," "," "
"Standing (Continuous)"," "," "," "," ","1","4"," "," "," "
"Standing (Intermittent)"," "," "," "," ","2","2"," ","1"," "
"Travel via car required","5"," "," "," "," "," "," "," "," "
"Travel via public transportation required","5"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","1"," "," "," ","4"," "," "," "
"Use of sharp tools","4"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","2","3"," "," "," "
"Work only indoors"," "," "," "," "," "," "," "," ","5"
"Work outdoors > 1 hour","5"," "," "," "," "," "," "," "," "
"Total","57","25","23","21","12","39","3","2","13"
