"Question","No","Not Required","Required half of a day","Required less than half of a day","Required more than half of a day","Yes - Frequently","Yes - Infrequently"
"Analytical or clinical/professional reasoning"," "," ","3","2","11"," "," "
"Cognitive flexibility (e.g. alternating attention between multiple tasks at one time)"," "," ","2","3","11"," "," "
"Follow multiple step commands","1"," "," "," "," ","11","4"
"Integrating new learning into practice"," "," ","2","4","10"," "," "
"Memory aids can be used (e.g. information sheets)"," "," "," "," "," ","10","6"
"Practicing good judgement and decision-making"," "," ","1","2","13"," "," "
"Problem solving"," "," ","1","3","12"," "," "
"Reading electronic documents"," ","2","2","9","3"," "," "
"Reading paper documents (handwritten or typed)"," ","2","3","10","1"," "," "
"Require instant recall of facts/data"," "," "," "," "," ","12","4"
"Self-starting/initiating"," "," ","4","3","9"," "," "
"Time management/planning (e.g. set priorities, scheduling of meetings/client sessions)"," "," ","3","3","10"," "," "
"Total","1","4","21","39","80","33","14"
