"Question","No","Not Required","Required 1 to 5 times per day","Required 6 to 10 times per day","Required half of a day","Required less than half of a day","Required more than 10 times a day","Required more than half of a day","Yes"
"Adverse lighting conditions","12"," "," "," "," "," "," "," ","4"
"Bending"," ","2"," "," ","4","9"," ","1"," "
"By hand"," ","4"," "," ","2","8"," ","2"," "
"Carrying less than 5 kg"," ","5","7","4"," "," "," "," "," "
"Carrying more than 5 kg"," ","9","4","3"," "," "," "," "," "
"Congested/cluttered working areas","7"," "," "," "," "," "," "," ","9"
"Exposure to chemicals","14"," "," "," "," "," "," "," ","2"
"Exposure to excessive dust","15"," "," "," "," "," "," "," ","1"
"Exposure to excessive noise /auditory distractions","10"," "," "," "," "," "," "," ","6"
"Exposure to extreme temperatures","14"," "," "," "," "," "," "," ","2"
"Exposure to infectious agents/disease","1"," "," "," "," "," "," "," ","15"
"Exposure to insects or animals (e.g. bed bugs, cats)","16"," "," "," "," "," "," "," "," "
"Exposure to strong odors","7"," "," "," "," "," "," "," ","9"
"Finger dexterity"," ","3","4","6"," "," ","3"," "," "
"Grasping"," ","2","5","8"," "," ","1"," "," "
"Keyboarding on computer or tablet"," ","2"," "," ","7","7"," "," "," "
"Keyboarding on phone"," ","15"," "," "," ","1"," "," "," "
"Kneeling/squatting"," ","5"," "," ","2","8"," ","1"," "
"Lifting less than 5 kg"," ","5","6","4"," "," ","1"," "," "
"Lifting more than 5 kg"," ","5","7","4"," "," "," "," "," "
"Other climbing"," ","13"," "," "," ","3"," "," "," "
"Pinching"," ","4","8","4"," "," "," "," "," "
"Pulling less than 5 kg"," ","9","4","3"," "," "," "," "," "
"Pulling more than 5 kg"," ","11","2","3"," "," "," "," "," "
"Pushing less than 5 kg"," ","5","8","3"," "," "," "," "," "
"Pushing more than 5 kg"," ","9","3","4"," "," "," "," "," "
"Reaching"," ","3","6","6"," "," ","1"," "," "
"Sitting (Continuous)"," ","5"," "," ","2","9"," "," "," "
"Sitting (Intermittent)"," "," "," "," ","7","9"," "," "," "
"Stair climbing"," ","4"," "," ","1","9"," ","2"," "
"Standing (Continuous)"," ","2"," "," ","3","7"," ","4"," "
"Standing (Intermittent)"," "," "," "," ","8","3"," ","5"," "
"Travel via car required","16"," "," "," "," "," "," "," "," "
"Travel via public transportation required","16"," "," "," "," "," "," "," "," "
"Twisting /awkward posture"," ","6"," "," ","1","9"," "," "," "
"Use of sharp tools","15"," "," "," "," "," "," "," ","1"
"Walking"," "," "," "," ","5","4"," ","7"," "
"Work only indoors","1"," "," "," "," "," "," "," ","15"
"Work outdoors > 1 hour","16"," "," "," "," "," "," "," "," "
"Total","160","128","64","52","42","86","6","22","64"
